img_path,label,brisque
./data/001.Nimitz-class_aircraft_carrier\P0002.bmp,Carrier,2.8926003084079355
./data/001.Nimitz-class_aircraft_carrier\P0017.bmp,Carrier,22.02994187318356
./data/001.Nimitz-class_aircraft_carrier\P0027.bmp,Carrier,11.436857296005513
./data/001.Nimitz-class_aircraft_carrier\P0029.bmp,Carrier,18.83558642826003
./data/001.Nimitz-class_aircraft_carrier\P0031.bmp,Carrier,18.153712743972136
./data/001.Nimitz-class_aircraft_carrier\P0052.bmp,Carrier,22.71978150269362
./data/001.Nimitz-class_aircraft_carrier\P0059.bmp,Carrier,12.052823958684456
./data/001.Nimitz-class_aircraft_carrier\P0080.bmp,Carrier,12.87317974014033
./data/001.Nimitz-class_aircraft_carrier\P0084.bmp,Carrier,16.29883208626697
./data/001.Nimitz-class_aircraft_carrier\P0092.bmp,Carrier,1.952642068156564
./data/001.Nimitz-class_aircraft_carrier\P0132.bmp,Carrier,0.0
./data/001.Nimitz-class_aircraft_carrier\P0145.bmp,Carrier,19.010184316532758
./data/001.Nimitz-class_aircraft_carrier\P0199.bmp,Carrier,72.42152415731536
./data/001.Nimitz-class_aircraft_carrier\P0212.bmp,Carrier,1.8076508635205926
./data/001.Nimitz-class_aircraft_carrier\P0218.bmp,Carrier,0.0
./data/001.Nimitz-class_aircraft_carrier\P0228.bmp,Carrier,17.502685953781764
./data/001.Nimitz-class_aircraft_carrier\P0240.bmp,Carrier,8.556722417546297
./data/001.Nimitz-class_aircraft_carrier\P0243.bmp,Carrier,0.0
./data/001.Nimitz-class_aircraft_carrier\P0252.bmp,Carrier,43.33075215259518
./data/001.Nimitz-class_aircraft_carrier\P0267.bmp,Carrier,15.844061897957744
./data/001.Nimitz-class_aircraft_carrier\P0293.bmp,Carrier,16.506801283218664
./data/001.Nimitz-class_aircraft_carrier\P0295.bmp,Carrier,10.784376028860521
./data/001.Nimitz-class_aircraft_carrier\P0307.bmp,Carrier,16.272026004683738
./data/001.Nimitz-class_aircraft_carrier\P0308.bmp,Carrier,0.0
./data/001.Nimitz-class_aircraft_carrier\P0315.bmp,Carrier,18.16699775306617
./data/001.Nimitz-class_aircraft_carrier\P0330.bmp,Carrier,13.393408639201624
./data/001.Nimitz-class_aircraft_carrier\P0418.bmp,Carrier,0.0
./data/001.Nimitz-class_aircraft_carrier\P0427.bmp,Carrier,19.937618321288227
