img_path,label,brisque
./data/001.Nimitz-class_aircraft_carrier\P0002.bmp,Carrier,2.8926003084031606
./data/001.Nimitz-class_aircraft_carrier\P0017.bmp,Carrier,22.029941873175375
./data/001.Nimitz-class_aircraft_carrier\P0027.bmp,Carrier,10.079833513699413
./data/001.Nimitz-class_aircraft_carrier\P0029.bmp,Carrier,18.835586428255482
./data/001.Nimitz-class_aircraft_carrier\P0031.bmp,Carrier,18.153712743979412
./data/001.Nimitz-class_aircraft_carrier\P0052.bmp,Carrier,22.71978150268407
./data/001.Nimitz-class_aircraft_carrier\P0059.bmp,Carrier,12.052823958687412
./data/001.Nimitz-class_aircraft_carrier\P0080.bmp,Carrier,12.873179740133054
./data/001.Nimitz-class_aircraft_carrier\P0084.bmp,Carrier,16.29883208625799
./data/001.Nimitz-class_aircraft_carrier\P0092.bmp,Carrier,1.9526420681424668
./data/001.Nimitz-class_aircraft_carrier\P0132.bmp,Carrier,0.0
./data/001.Nimitz-class_aircraft_carrier\P0145.bmp,Carrier,19.010184316532758
./data/001.Nimitz-class_aircraft_carrier\P0199.bmp,Carrier,71.47702512327552
./data/001.Nimitz-class_aircraft_carrier\P0212.bmp,Carrier,1.807650863511725
./data/001.Nimitz-class_aircraft_carrier\P0218.bmp,Carrier,0.0
./data/001.Nimitz-class_aircraft_carrier\P0228.bmp,Carrier,17.502685953767212
./data/001.Nimitz-class_aircraft_carrier\P0240.bmp,Carrier,8.45418721418875
./data/001.Nimitz-class_aircraft_carrier\P0243.bmp,Carrier,0.0
./data/001.Nimitz-class_aircraft_carrier\P0252.bmp,Carrier,43.33075215260098
./data/001.Nimitz-class_aircraft_carrier\P0267.bmp,Carrier,15.844061897970931
./data/001.Nimitz-class_aircraft_carrier\P0293.bmp,Carrier,17.873905497935738
./data/001.Nimitz-class_aircraft_carrier\P0295.bmp,Carrier,10.784376028868422
./data/001.Nimitz-class_aircraft_carrier\P0307.bmp,Carrier,16.27202600467055
./data/001.Nimitz-class_aircraft_carrier\P0308.bmp,Carrier,0.0
./data/001.Nimitz-class_aircraft_carrier\P0315.bmp,Carrier,18.166997753076174
./data/001.Nimitz-class_aircraft_carrier\P0330.bmp,Carrier,13.842462703597192
./data/001.Nimitz-class_aircraft_carrier\P0418.bmp,Carrier,0.0
